NOTA_VENTA,PRODUCTO,DESCRIPCION,PROCESO,ESTADO
13301,CAJ155004100540D92,"CAJA 1550*410*540 D92 NO.",CALADO,PENDIENTE
13301,CAJ155004100540D92,"CAJA 1550*410*540 D92 NO.",TROZADO,PENDIENTE
13301,CAJ155004100540D92,"CAJA 1550*410*540 D92 NO.",OTRO,PENDIENTE
13301,CAJ155004100540D92,"CAJA 1550*410*540 D92 NO.",CALADO,PENDIENTE
13301,CAJ155004100540D92,"CAJA 1550*410*540 D92 NO.",OTRO,PENDIENTE
13301,CAJ155004100540D92,"CAJA 1550*410*540 D92 NO.",PEGADO,PENDIENTE
13301,CAJ155004100540D92,"CAJA 1550*410*540 D92 NO.",PLIZADO,PENDIENTE
13301,CUB05000400003010C,"CUBIERTA CABEZAL 500*400*30 10C C1",TROZADO,PENDIENTE
13301,CUB05000400003010C,"CUBIERTA CABEZAL 500*400*30 10C C1",EMPLACADO,PENDIENTE
13301,CUB05000400003010C,"CUBIERTA CABEZAL 500*400*30 10C C1",OTRO,PENDIENTE
13301,CUB05000400003010C,"CUBIERTA CABEZAL 500*400*30 10C C1",OTRO,PENDIENTE
13301,CUB05000400003010C,"CUBIERTA CABEZAL 500*400*30 10C C1",OTRO,PENDIENTE
13301,CUB08000200010010C,"CUBIERTA SUPLE 800*200*100 10C C1",OTRO,PENDIENTE
13301,CUB08000200010010C,"CUBIERTA SUPLE 800*200*100 10C C1",OTRO,PENDIENTE
13301,CUB08000200010010C,"CUBIERTA SUPLE 800*200*100 10C C1",EMPLACADO,PENDIENTE
13301,CUB08000200010010C,"CUBIERTA SUPLE 800*200*100 10C C1",TROZADO,PENDIENTE
13301,CUB08000200010010C,"CUBIERTA SUPLE 800*200*100 10C C1",OTRO,PENDIENTE
13301,CUB14500500007010C,"CUBIERTA LATERAL 1450*500*70 10C C1",EMPLACADO,PENDIENTE
13301,CUB14500500007010C,"CUBIERTA LATERAL 1450*500*70 10C C1",TROZADO,PENDIENTE
13301,CUB14500500007010C,"CUBIERTA LATERAL 1450*500*70 10C C1",OTRO,PENDIENTE
13301,CUB14500500007010C,"CUBIERTA LATERAL 1450*500*70 10C C1",OTRO,PENDIENTE
13301,CUB14500500007010C,"CUBIERTA LATERAL 1450*500*70 10C C1",OTRO,PENDIENTE
13301,CUB15000260010010C,"CUBIERTA SUPERIOR 1500*260*100 10C C1",OTRO,PENDIENTE
13301,CUB15000260010010C,"CUBIERTA SUPERIOR 1500*260*100 10C C1",OTRO,PENDIENTE
13301,CUB15000260010010C,"CUBIERTA SUPERIOR 1500*260*100 10C C1",EMPLACADO,PENDIENTE
13301,CUB15000260010010C,"CUBIERTA SUPERIOR 1500*260*100 10C C1",TROZADO,PENDIENTE
13301,CUB15000260010010C,"CUBIERTA SUPERIOR 1500*260*100 10C C1",OTRO,PENDIENTE
13301,CUB15300400003010C,"CUBIERTA BASE 1530*400*30 10C C1",EMPLACADO,PENDIENTE
13301,CUB15300400003010C,"CUBIERTA BASE 1530*400*30 10C C1",TROZADO,PENDIENTE
13301,CUB15300400003010C,"CUBIERTA BASE 1530*400*30 10C C1",OTRO,PENDIENTE
13301,CUB15300400003010C,"CUBIERTA BASE 1530*400*30 10C C1",OTRO,PENDIENTE
13301,CUB15300400003010C,"CUBIERTA BASE 1530*400*30 10C C1",OTRO,PENDIENTE
13301,SEP020019050003C20,"SUPLE TRIANGULO 200*1905  C20 SEP 3 PLIZ.",OTRO,PENDIENTE
13301,SEP020019050003C20,"SUPLE TRIANGULO 200*1905  C20 SEP 3 PLIZ.",TROZADO,PENDIENTE
13301,SEP020019050003C20,"SUPLE TRIANGULO 200*1905  C20 SEP 3 PLIZ.",OTRO,PENDIENTE
13301,SEP020019050003C20,"SUPLE TRIANGULO 200*1905  C20 SEP 3 PLIZ.",PLIZADO,PENDIENTE
13301,SEP050004000007D92,"SEPARADOR 500*400*7  D92 SEP",TROZADO,PENDIENTE
13301,SEP050004000007D92,"SEPARADOR 500*400*7  D92 SEP",OTRO,PENDIENTE
13301,SEP050004000007D92,"SEPARADOR 500*400*7  D92 SEP",OTRO,PENDIENTE
13302,CAJ155004100540D92,"CAJA 1550*410*540 D92 NO.",CALADO,PENDIENTE
13302,CAJ155004100540D92,"CAJA 1550*410*540 D92 NO.",OTRO,PENDIENTE
13302,CAJ155004100540D92,"CAJA 1550*410*540 D92 NO.",TROZADO,PENDIENTE
13302,CAJ155004100540D92,"CAJA 1550*410*540 D92 NO.",OTRO,PENDIENTE
13302,CAJ155004100540D92,"CAJA 1550*410*540 D92 NO.",CALADO,PENDIENTE
13302,CAJ155004100540D92,"CAJA 1550*410*540 D92 NO.",PEGADO,PENDIENTE
13302,CAJ155004100540D92,"CAJA 1550*410*540 D92 NO.",PLIZADO,PENDIENTE
13302,CUB05000400003010C,"CUBIERTA CABEZAL 500*400*30 10C C1",TROZADO,PENDIENTE
13302,CUB05000400003010C,"CUBIERTA CABEZAL 500*400*30 10C C1",EMPLACADO,PENDIENTE
13302,CUB05000400003010C,"CUBIERTA CABEZAL 500*400*30 10C C1",OTRO,PENDIENTE
13302,CUB05000400003010C,"CUBIERTA CABEZAL 500*400*30 10C C1",OTRO,PENDIENTE
13302,CUB05000400003010C,"CUBIERTA CABEZAL 500*400*30 10C C1",OTRO,PENDIENTE
13302,CUB08000200010010C,"CUBIERTA SUPLE 800*200*100 10C C1",OTRO,PENDIENTE
13302,CUB08000200010010C,"CUBIERTA SUPLE 800*200*100 10C C1",OTRO,PENDIENTE
13302,CUB08000200010010C,"CUBIERTA SUPLE 800*200*100 10C C1",EMPLACADO,PENDIENTE
13302,CUB08000200010010C,"CUBIERTA SUPLE 800*200*100 10C C1",TROZADO,PENDIENTE
13302,CUB08000200010010C,"CUBIERTA SUPLE 800*200*100 10C C1",OTRO,PENDIENTE
13302,CUB14500500007010C,"CUBIERTA LATERAL 1450*500*70 10C C1",EMPLACADO,PENDIENTE
13302,CUB14500500007010C,"CUBIERTA LATERAL 1450*500*70 10C C1",TROZADO,PENDIENTE
13302,CUB14500500007010C,"CUBIERTA LATERAL 1450*500*70 10C C1",OTRO,PENDIENTE
13302,CUB14500500007010C,"CUBIERTA LATERAL 1450*500*70 10C C1",OTRO,PENDIENTE
13302,CUB14500500007010C,"CUBIERTA LATERAL 1450*500*70 10C C1",OTRO,PENDIENTE
13302,CUB15000260010010C,"CUBIERTA SUPERIOR 1500*260*100 10C C1",OTRO,PENDIENTE
13302,CUB15000260010010C,"CUBIERTA SUPERIOR 1500*260*100 10C C1",OTRO,PENDIENTE
13302,CUB15000260010010C,"CUBIERTA SUPERIOR 1500*260*100 10C C1",EMPLACADO,PENDIENTE
13302,CUB15000260010010C,"CUBIERTA SUPERIOR 1500*260*100 10C C1",TROZADO,PENDIENTE
13302,CUB15000260010010C,"CUBIERTA SUPERIOR 1500*260*100 10C C1",OTRO,PENDIENTE
13302,CUB15300400003010C,"CUBIERTA BASE 1530*400*30 10C C1",EMPLACADO,PENDIENTE
13302,CUB15300400003010C,"CUBIERTA BASE 1530*400*30 10C C1",TROZADO,PENDIENTE
13302,CUB15300400003010C,"CUBIERTA BASE 1530*400*30 10C C1",OTRO,PENDIENTE
13302,CUB15300400003010C,"CUBIERTA BASE 1530*400*30 10C C1",OTRO,PENDIENTE
13302,CUB15300400003010C,"CUBIERTA BASE 1530*400*30 10C C1",OTRO,PENDIENTE
13302,SEP020019050003C20,"SUPLE TRIANGULO 200*1905  C20 SEP 3 PLIZ.",OTRO,PENDIENTE
13302,SEP020019050003C20,"SUPLE TRIANGULO 200*1905  C20 SEP 3 PLIZ.",TROZADO,PENDIENTE
13302,SEP020019050003C20,"SUPLE TRIANGULO 200*1905  C20 SEP 3 PLIZ.",OTRO,PENDIENTE
13302,SEP020019050003C20,"SUPLE TRIANGULO 200*1905  C20 SEP 3 PLIZ.",PLIZADO,PENDIENTE
13302,SEP050004000007D92,"SEPARADOR 500*400*7  D92 SEP",TROZADO,PENDIENTE
13302,SEP050004000007D92,"SEPARADOR 500*400*7  D92 SEP",OTRO,PENDIENTE
13302,SEP050004000007D92,"SEPARADOR 500*400*7  D92 SEP",OTRO,PENDIENTE
13478,REL1100002137.509B,"RELLENO 110C21 37.5 09B CELDA 291",OTRO,PENDIENTE
