"ID","ESTADO_PROC","CANT_PROD","CANT_A_PROD","PLACA","PLACAS_USADAS","PLACAS_BUENAS","PLACAS_MALAS","TIEMPO_TOTAL","NUMERO_PERSONAS","STOCK","USER","STOCK_CANT","despunte"
2196,PENDIENTE,0,400,,,,,,0,,,0,0
2197,PENDIENTE,260,140,[],[],[],[],,3,,nicolas tordesilla,0,0
2198,LISTO,400,0,[],[],[],[],,2,,Carlos Muller,0,0
2199,PENDIENTE,0,400,,,,,,0,,,0,0
2202,PENDIENTE,0,2930,,,,,,0,,,0,0
2206,PENDIENTE,0,3240,,,,,,0,,,0,0
2208,LISTO,3010,0,"[""PLACA 950*780 09B""]",[9530],[9500],[30],,2,,Carlos Muller,0,0
2209,LISTO,3010,0,[],[],[],[],,4,,Carlos Muller,0,0
2210,PENDIENTE,0,3010,,,,,,0,,,0,0
2213,PENDIENTE,0,40000,,,,,,0,,,0,0
2214,LISTO,60000,0,"[""PLACA 950*780 09B""]",[60037],[60000],[37],,2,,Carlos Muller,0,0
2215,PENDIENTE,0,40000,,,,,,0,,,0,0
2216,PENDIENTE,0,40000,,,,,,0,,,0,0
2217,LISTO,500,0,[],[],[],[],,4,,Carlos Muller,0,0
2218,PENDIENTE,0,500,,,,,,0,,,0,0
2219,LISTO,500,0,"[""PLACA 1100*780 09B""]",[503],[500],[3],,2,,Carlos Muller,0,0
2225,PENDIENTE,0,2500,,,,,,0,,,0,0
2229,PENDIENTE,0,2500,,,,,,0,,,0,0
2230,PENDIENTE,0,2500,,,,,,0,,,0,0
2231,PENDIENTE,0,2500,,,,,,0,,,0,0
2236,PENDIENTE,0,1500,,,,,,0,,,0,0
2240,PENDIENTE,0,5000,,,,,,0,,,0,0
2241,LISTO,5000,0,"[""PLACA 950*780 09B""]",[2112],[2090],[22],,2,,Carlos Muller,0,0
2242,LISTO,5000,0,[],[],[],[],,4,,Carlos Muller,0,0
2243,PENDIENTE,0,5000,,,,,,0,,,0,0
2244,PENDIENTE,0,1000,,,,,,0,,,0,0
2253,PENDIENTE,0,200,,,,,,0,,,0,0
2255,PENDIENTE,0,120,,,,,,0,,,0,0
2256,LISTO,60,0,[],[],[],[],,2,,Carlos Muller,0,0
2258,PENDIENTE,60,0,[],[],[],[],,2,,Matias Muller,0,0
2261,PENDIENTE,0,60,,,,,,0,,,0,0
2262,PENDIENTE,0,60,,,,,,0,,,0,0
2263,LISTO,60,0,[],[],[],[],,2,,Carlos Muller,0,0
2267,PENDIENTE,0,228,,,,,,0,,,0,0
2269,PENDIENTE,220,8,[],[],[],[],,2,,Carlos Muller,0,1
2273,PENDIENTE,0,5000,,,,,,0,,,0,0
