"NVNumero","nvEstado","fecha_nv","fecha_entrega","ConcAuto","CodProd","nvCant","cant_fact","dif_fact","nvPrecio","DetProd","NomAux","codProc","PROCESO","DescProc","tiempo","CantProd"
13301,A,2024-09-16 00:00:00.000,2024-10-03 00:00:00.000,N,CAJ155004100540D92,10.0,1.0,9.0,9200.0,CAJA 1550*410*540 D92 NO.,BELLTECH AUTOSERVICIOS S.A. ,P004,CALADO,PROCESO CALADO BIPARTIDAS,46.0,710.0
13301,A,2024-09-16 00:00:00.000,2024-10-03 00:00:00.000,N,CAJ155004100540D92,10.0,1.0,9.0,9200.0,CAJA 1550*410*540 D92 NO.,BELLTECH AUTOSERVICIOS S.A. ,P005,PEGADO,PROCESO PEGADO BIPARTIDO,92.0,360.0
13301,A,2024-09-16 00:00:00.000,2024-10-03 00:00:00.000,N,CAJ155004100540D92,10.0,1.0,9.0,9200.0,CAJA 1550*410*540 D92 NO.,BELLTECH AUTOSERVICIOS S.A. ,P018,TROZADO,PROCESO DE TROZADO,45.0,750.0
13301,A,2024-09-16 00:00:00.000,2024-10-03 00:00:00.000,N,CAJ155004100540D92,10.0,1.0,9.0,9200.0,CAJA 1550*410*540 D92 NO.,BELLTECH AUTOSERVICIOS S.A. ,P021,OTRO,PROCESO EMBALADO CAJAS,20.0,1620.0
13301,A,2024-09-16 00:00:00.000,2024-10-03 00:00:00.000,N,CAJ155004100540D92,10.0,1.0,9.0,9200.0,CAJA 1550*410*540 D92 NO.,BELLTECH AUTOSERVICIOS S.A. ,P051,OTRO,PROCESO DE AJUSTE 100,1.0,1.0
13301,A,2024-09-16 00:00:00.000,2024-10-03 00:00:00.000,N,CAJ155004100540D92,10.0,1.0,9.0,9200.0,CAJA 1550*410*540 D92 NO.,BELLTECH AUTOSERVICIOS S.A. ,P058,PLIZADO,PROCESO DE PLIZADO BIPARTIDA,60.0,550.0
13301,A,2024-09-16 00:00:00.000,2024-10-03 00:00:00.000,N,SEP050004000007D92,10.0,1.0,9.0,460.0,SEPARADOR 500*400*7  D92 SEP,BELLTECH AUTOSERVICIOS S.A. ,P018,TROZADO,PROCESO DE TROZADO,45.0,750.0
13301,A,2024-09-16 00:00:00.000,2024-10-03 00:00:00.000,N,SEP050004000007D92,10.0,1.0,9.0,460.0,SEPARADOR 500*400*7  D92 SEP,BELLTECH AUTOSERVICIOS S.A. ,P033,OTRO,PROCESO EMBALADO TROQUELADO,3.0,10800.0
13301,A,2024-09-16 00:00:00.000,2024-10-03 00:00:00.000,N,SEP050004000007D92,10.0,1.0,9.0,460.0,SEPARADOR 500*400*7  D92 SEP,BELLTECH AUTOSERVICIOS S.A. ,P068,OTRO,PROCESO DE DIMENSIONADO ,20.0,1600.0
13301,A,2024-09-16 00:00:00.000,2024-10-03 00:00:00.000,N,SEP020019050003C20,10.0,1.0,9.0,594.0,SUPLE TRIANGULO 200*1905  C20 SEP 3 PLIZ.,BELLTECH AUTOSERVICIOS S.A. ,P001,PLIZADO,PROCESO DE PLIZADO NORMAL ,30.0,1100.0
13301,A,2024-09-16 00:00:00.000,2024-10-03 00:00:00.000,N,SEP020019050003C20,10.0,1.0,9.0,594.0,SUPLE TRIANGULO 200*1905  C20 SEP 3 PLIZ.,BELLTECH AUTOSERVICIOS S.A. ,P018,TROZADO,PROCESO DE TROZADO,45.0,750.0
13301,A,2024-09-16 00:00:00.000,2024-10-03 00:00:00.000,N,SEP020019050003C20,10.0,1.0,9.0,594.0,SUPLE TRIANGULO 200*1905  C20 SEP 3 PLIZ.,BELLTECH AUTOSERVICIOS S.A. ,P033,OTRO,PROCESO EMBALADO TROQUELADO,3.0,10800.0
13301,A,2024-09-16 00:00:00.000,2024-10-03 00:00:00.000,N,SEP020019050003C20,10.0,1.0,9.0,594.0,SUPLE TRIANGULO 200*1905  C20 SEP 3 PLIZ.,BELLTECH AUTOSERVICIOS S.A. ,P068,OTRO,PROCESO DE DIMENSIONADO ,20.0,1600.0
13301,A,2024-09-16 00:00:00.000,2024-10-03 00:00:00.000,N,CUB14500500007010C,20.0,2.0,18.0,4074.0,CUBIERTA LATERAL 1450*500*70 10C C1,BELLTECH AUTOSERVICIOS S.A. ,P017,EMPLACADO,PROCESO DE EMPLACADO C1,54.0,600.0
